iter	TotalF1	MultiClass
587	0.8180593555	0.9019272795
588	0.8185166072	0.9015662493
589	0.8185028193	0.9012720606
590	0.8194357274	0.9002355919
591	0.8201189332	0.8993020556
592	0.8208902633	0.8985933063
593	0.8214106771	0.8982002454
594	0.8217705802	0.897623962
595	0.8210625995	0.8974064383
596	0.821912989	0.8969358272
597	0.8219213775	0.8955238412
598	0.8217526582	0.8950793166
599	0.8223621769	0.8940291251
600	0.8228324741	0.8931810848
601	0.8233430732	0.8922278117
602	0.8234415983	0.8917419304
603	0.8249929856	0.8907421926
604	0.8250857751	0.8898182824
605	0.8255026276	0.8887371982
606	0.8257548107	0.8878148929
607	0.826037597	0.8873325055
608	0.8267127093	0.8869409268
609	0.8263005235	0.886384447
610	0.8275987648	0.8852463122
611	0.8280047554	0.884808945
612	0.8287813281	0.8843712656
613	0.8297920885	0.883309531
614	0.8308875308	0.8820388729
615	0.8310000292	0.881680433
616	0.8308867867	0.8812888281
617	0.8305731885	0.8799176014
618	0.8314197671	0.8795473783
619	0.8314473693	0.8787406034
620	0.831966249	0.8776599183
621	0.8324725669	0.8769928595
622	0.8325305013	0.8753067577
623	0.8330633118	0.8747590802
624	0.834208246	0.874187345
625	0.8351390349	0.8723782386
626	0.8352395674	0.8711695139
627	0.8357376183	0.8706473764
628	0.8363281045	0.869448184
629	0.8367884634	0.8691547033
630	0.8370241676	0.8681246365
631	0.837295679	0.8670706398
632	0.8368742515	0.8660786993
633	0.837145959	0.8657101788
634	0.8377349946	0.8646820726
635	0.8380780049	0.8642720995
636	0.83823194	0.8639598648
637	0.839182626	0.8632893058
638	0.8398412597	0.8623267751
639	0.8401736261	0.8616463818
640	0.8404319468	0.8613521484
641	0.8409783472	0.8600144347
642	0.8412298212	0.8596372867
643	0.8412596225	0.8581588823
644	0.8413456237	0.8569752951
645	0.8414219956	0.8565737499
646	0.8422917522	0.8554666269
647	0.8426193552	0.8546574654
648	0.8425394709	0.8544335058
649	0.8433344575	0.8528075386
650	0.8437941347	0.8515085343
651	0.8443029993	0.8511908931
652	0.8448114287	0.8501618106
653	0.8450456062	0.8496513433
654	0.8448612973	0.8494287293
655	0.8451263205	0.8491370144
656	0.8451441532	0.8478494655
657	0.8459253221	0.8464026496
658	0.8454095881	0.8453105563
659	0.846771786	0.8445948513
660	0.84826243	0.842952303
661	0.8494685702	0.8421523684
662	0.8496399144	0.841422383
663	0.8504143708	0.8409540112
664	0.8500589813	0.8405595697
665	0.850462923	0.8394881082
666	0.8517587111	0.8391674731
667	0.8514988634	0.8387839637
668	0.8514911524	0.8383516855
669	0.8516655659	0.8380254053
670	0.852013641	0.8375775437
671	0.8520919777	0.8373387241
672	0.8523512243	0.8369335077
673	0.8529593672	0.8363002168
674	0.8531298598	0.8354833163
675	0.8531801131	0.834463084
676	0.8532700848	0.8340688649
677	0.8533084138	0.8334854664
678	0.8542457677	0.8322801874
679	0.8546945337	0.8312152764
680	0.8543688402	0.8307289632
681	0.8547060375	0.8303874959
682	0.8555356079	0.8292267121
683	0.8557945025	0.8288155265
684	0.8556286514	0.8284768715
685	0.8558056757	0.8281544359
686	0.8555515479	0.827197638
687	0.8558013717	0.8268426111
688	0.8557341201	0.8256800644
689	0.8553812437	0.8247944408
690	0.8552050801	0.8243350277
691	0.8556305927	0.8240214168
692	0.8558998177	0.823695896
693	0.856581578	0.822541928
694	0.8571654142	0.8210712593
695	0.857518856	0.820745502
696	0.8576232074	0.8198568298
697	0.8578602478	0.8194628715
698	0.8590453135	0.8184155653
699	0.8594021444	0.8180640403
700	0.859321491	0.817611305
701	0.8593028804	0.8166749281
702	0.8597637689	0.8153796051
703	0.8597480329	0.8146425507
704	0.8601907709	0.8143416535
705	0.8599476527	0.8132265683
706	0.8607273098	0.8122559532
707	0.8612795761	0.8112944443
708	0.8627852844	0.8100945494
709	0.8626818643	0.8097622846
710	0.8629356821	0.8094059666
711	0.8627831628	0.808254959
712	0.8642356835	0.8070630051
713	0.8644092146	0.806682123
714	0.8644288456	0.8056608195
715	0.8645276685	0.8052983879
716	0.8651142866	0.8047283863
717	0.8652842337	0.8038087924
718	0.8657830183	0.803274769
719	0.8662070501	0.8029783489
720	0.8667226222	0.8021212376
721	0.8666682608	0.8012903155
722	0.8673667715	0.8000337325
723	0.867612198	0.7994561789
724	0.8679468313	0.7990409551
725	0.868101343	0.7983019854
726	0.8688858275	0.7978266961
727	0.8691394597	0.7967939071
728	0.869909923	0.795728737
729	0.870172682	0.7955295767
730	0.8692092191	0.7943485511
731	0.8695615778	0.7938611375
732	0.870190849	0.7929591655
733	0.8702731127	0.7927071219
734	0.8705253203	0.7916883843
735	0.8710372506	0.7913444702
736	0.8710412189	0.7910094668
737	0.8706964242	0.790157499
738	0.8723484947	0.7888115312
739	0.8724255028	0.7883908807
740	0.8723469712	0.7876952744
741	0.8722616637	0.7873270214
742	0.8720143291	0.7865896303
743	0.8726181702	0.7857417229
744	0.8724377047	0.7854071807
745	0.8729599852	0.784713974
746	0.8726071383	0.7840918307
747	0.8726015091	0.7834701967
748	0.8730373883	0.7828418061
749	0.8737300708	0.7821561392
750	0.874253867	0.781843365
751	0.8742535131	0.7814621433
752	0.8752041683	0.7801806323
753	0.8757070172	0.7795364705
754	0.8757182421	0.7791453847
755	0.8758723105	0.7785496501
756	0.8763879126	0.778246372
757	0.8760688188	0.77755365
758	0.8763251048	0.7773087559
759	0.8763184955	0.7767664268
760	0.8758872078	0.7764842025
761	0.876745291	0.7753801114
762	0.8772506021	0.7749557693
763	0.8774396169	0.7740006668
764	0.8771798903	0.7729859652
765	0.8771730186	0.7726739071
766	0.8783704419	0.7712240126
767	0.8782919275	0.7705836481
768	0.8792338972	0.7699266869
769	0.8794027024	0.7696511538
770	0.8793120101	0.7689101809
771	0.879921773	0.768585469
772	0.879568214	0.7679861066
773	0.8799805685	0.7675692728
774	0.8799899675	0.7671406742
775	0.880768038	0.7665504421
776	0.8809483793	0.7661319387
777	0.8810500959	0.7655665783
778	0.8815579925	0.7651526553
779	0.881990388	0.7640383571
780	0.8818197316	0.7635589658
781	0.8820725622	0.7631968179
782	0.8820566749	0.7630461617
783	0.8825770572	0.7620160494
784	0.8827610902	0.7609867288
785	0.8830255491	0.7607679487
786	0.8843824219	0.7602180255
787	0.8834408669	0.7590712653
788	0.8837753189	0.7587641368
789	0.8842166347	0.7578510465
790	0.8849132213	0.7570754949
791	0.8850069851	0.7560035582
792	0.8849949824	0.7556093142
793	0.8855979398	0.7547504756
794	0.885850312	0.7544013515
795	0.8864349848	0.7540728331
796	0.8869476583	0.753754027
797	0.8866181764	0.7534923259
798	0.8867860245	0.7528616701
799	0.8879937577	0.7517606831
800	0.8881516058	0.7514289742
801	0.8885853153	0.7503017832
802	0.8880757298	0.7495060693
803	0.8878922157	0.7492218485
804	0.8880553078	0.7486445302
805	0.8885834673	0.7482501159
806	0.8889944413	0.7479490607
807	0.8888113705	0.7470739175
808	0.8887291006	0.7468356035
809	0.8894211959	0.7464592186
810	0.8892492335	0.7461390353
811	0.8895972181	0.7454823121
812	0.8907165602	0.7448167713
813	0.8904459806	0.7445568833
